Timestamp,count_negative,count_neutral,count_positive,compound_total,sent_negative,sent_positive,total_volume_of_tweets
2021-03-20 23:00:00,154,322,441,0.18309287863590767,-0.4084584415584414,0.4849675736961452,997
2021-03-21 00:00:00,133,342,483,0.19621778221778183,-0.39204436090225553,0.5087888198757753,1001
2021-03-21 01:00:00,162,377,400,0.13055115346038096,-0.44272654320987626,0.48429175000000035,997
2021-03-21 02:00:00,167,346,461,0.1527845463609171,-0.39361317365269455,0.4736240780911061,1003
2021-03-21 03:00:00,157,290,526,0.20723356643356652,-0.4183764331210191,0.5216720532319397,1001
2021-03-21 04:00:00,160,347,409,0.12163380140421244,-0.4225068749999995,0.47723300733496316,997
2021-03-21 05:00:00,139,326,490,0.21574001996007952,-0.3795553956834529,0.538712244897958,1002
2021-03-21 06:00:00,89,387,498,0.23861969999999996,-0.36404044943820224,0.5452389558232923,1000
2021-03-21 07:00:00,127,328,460,0.18887519999999985,-0.3910748031496062,0.5032834782608697,1000
2021-03-21 08:00:00,118,311,537,0.24258281718281732,-0.4055415254237286,0.5441176908752321,1001
2021-03-21 09:00:00,148,308,454,0.1683594784353057,-0.40175540540540505,0.5082872246696033,997
2021-03-21 10:00:00,145,346,468,0.16638518518518494,-0.38203793103448236,0.4832833333333335,999
2021-03-21 11:00:00,137,381,453,0.16636181455633087,-0.4175532846715328,0.4974037527593816,1003
2021-03-21 12:00:00,178,320,472,0.16366620000000018,-0.41659887640449367,0.5078266949152552,1000
2021-03-21 13:00:00,157,362,447,0.16179648241206,-0.38326624203821646,0.49589686800894783,995
2021-03-21 14:00:00,112,386,463,0.20912395209580859,-0.3990214285714284,0.5332330453563724,1002
2021-03-21 15:00:00,156,395,416,0.154472854291417,-0.41068461538461537,0.5047382211538461,1002
2021-03-21 16:00:00,144,285,463,0.20351234939759,-0.39533680555555534,0.554221814254858,996
2021-03-21 17:00:00,155,338,452,0.17597525050100213,-0.41163677419354827,0.4952234513274339,998
2021-03-21 18:00:00,179,319,451,0.16022803180914522,-0.376472067039106,0.48159135254988983,1006
2021-03-21 19:00:00,139,393,431,0.17504404404404422,-0.3664021582733813,0.5266450116009287,999
2021-03-21 20:00:00,173,316,410,0.1297393606393604,-0.38093352601156066,0.483462926829268,1001
2021-03-21 21:00:00,125,311,531,0.2311528000000004,-0.41040400000000005,0.53341450094162,1000
2021-03-21 22:00:00,188,319,456,0.11966003996003964,-0.40993510638297853,0.45127872807017516,1001
2021-03-21 23:00:00,136,277,479,0.18335305305305288,-0.38998750000000004,0.4808891440501047,999
2021-03-22 00:00:00,99,174,227,0.16614624277456636,-0.40378282828282813,0.5610629955947131,519
2021-03-22 01:00:00,180,354,434,0.1542494494494495,-0.35587722222222223,0.5081129032258077,999
2021-03-22 02:00:00,165,294,506,0.20283703703703704,-0.35470727272727304,0.5189843873517789,999
2021-03-22 03:00:00,153,371,423,0.17626733466933883,-0.34249934640522883,0.5426780141843985,998
2021-03-22 04:00:00,164,380,429,0.16268463073852277,-0.37310000000000004,0.5173135198135199,1002
2021-03-22 05:00:00,135,313,475,0.1834409919028339,-0.3685629629629629,0.4882056842105269,988
2021-03-22 06:00:00,210,349,412,0.1602637351778652,-0.3201780952380959,0.5071053398058247,1012
2021-03-22 07:00:00,191,352,293,0.1136213279678064,-0.3493581151832464,0.45756279863481153,994
2021-03-22 08:00:00,139,368,454,0.15615992023928216,-0.35240000000000005,0.457345594713658,1003
2021-03-22 09:00:00,114,473,342,0.15640491474423254,-0.3726421052631578,0.48247807017543826,997
2021-03-22 10:00:00,130,413,394,0.152166037735849,-0.407300769230769,0.49486446700507636,1007
2021-03-22 11:00:00,130,433,364,0.13044873864783021,-0.40006692307692304,0.5012835164835164,991
2021-03-22 12:00:00,149,413,400,0.1255641076769689,-0.3908328859060402,0.457507,1003
2021-03-22 13:00:00,177,372,401,0.11614723061429987,-0.39754576271186426,0.4609466334164589,993
2021-03-22 14:00:00,141,385,413,0.14937404809619229,-0.38064184397163114,0.49248184019370495,998
2021-03-22 15:00:00,1,7,9,0.2555684210526316,-0.3612,0.6100222222222222,19
2021-03-22 16:00:00,118,358,472,0.20800661241098706,-0.39148220338983036,0.5318644067796617,983
2021-03-22 17:00:00,141,401,432,0.16097165668662655,-0.3711659574468085,0.49864166666666726,1002
2021-03-22 18:00:00,140,331,339,0.12419189999999966,-0.38239428571428574,0.4855522123893806,1000
2021-03-22 19:00:00,14,30,34,0.13813544303797465,-0.3835642857142857,0.486935294117647,79
2021-03-22 20:00:00,174,421,389,0.1140583499005962,-0.39074885057471276,0.47129588688946056,1006
2021-03-22 21:00:00,167,377,423,0.131768036072144,-0.40361736526946085,0.4715981087470451,998
2021-03-22 22:00:00,162,369,437,0.15892693467336697,-0.40187592592592547,0.5106000000000005,995
2021-03-22 23:00:00,151,369,425,0.1537307615230461,-0.3720331125827812,0.48863882352941235,998
2021-03-23 00:00:00,147,336,480,0.17160970970970973,-0.34389047619047597,0.4623662500000008,999
2021-03-23 01:00:00,129,366,435,0.16590270541082172,-0.36884961240310077,0.4882119540229891,998
2021-03-23 02:00:00,119,377,466,0.15753598409542746,-0.4082974789915964,0.4524027896995713,1006
2021-03-23 03:00:00,133,341,499,0.19549850746268696,-0.41701578947368395,0.5140501002004013,1005
2021-03-23 04:00:00,142,395,430,0.1543251004016063,-0.39622464788732387,0.48646023255813997,996
2021-03-23 05:00:00,124,358,490,0.21784762386248754,-0.38306532258064474,0.5316651020408169,989
2021-03-23 06:00:00,133,391,469,0.19461643700787376,-0.388766917293233,0.5311884861407246,1016
