Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
20/03/2021 23:00,58500,58534.53,58020.92,58138.39,76.46,4454718.25,58260.04
21/03/2021 00:00,58072.87,58632.52,57816,58378.28,390.98,22835832.13,58406.84
21/03/2021 01:00,58365.55,58500,58101.62,58221.95,80.05,4666643.41,58298.62
21/03/2021 02:00,58186,58186,57504.78,57647.76,121.75,7034895.93,57783.72
21/03/2021 03:00,57645.83,57875.91,57475,57817.77,85.69,4945589.76,57715.96
21/03/2021 04:00,57768.1,57803.59,56752,56898.19,247.99,14193870.6,57236.67
21/03/2021 05:00,56885.44,57273.26,56864.53,57172.65,221.86,12666475.27,57092.66
21/03/2021 06:00,57150,57459,56712.15,57089.69,153.13,8753652.03,57164.15
21/03/2021 07:00,57070.34,57397.3,56917.82,57059.89,79.69,4557417.52,57189.62
21/03/2021 08:00,57016.02,57353.64,56919.42,57201.7,90.93,5196625.2,57146.88
21/03/2021 09:00,57150.99,57296.68,55500,55987.05,328,18472383.54,56317.88
21/03/2021 10:00,55954.9,56411.21,55616.34,56181.04,155.45,8729008.2,56153.96
21/03/2021 11:00,56163.79,56342.9,55800,56266.91,95.21,5341492.03,56100.86
21/03/2021 12:00,56260.17,56301.17,55890.01,56201.21,145.86,8186034.25,56124.38
21/03/2021 13:00,56227.32,57412.88,56217.23,57036.93,544.12,30964127.61,56906.38
21/03/2021 14:00,57038.34,57370.49,57028.48,57226.7,185.36,10609962.15,57238.56
21/03/2021 15:00,57214.38,57600,57057.39,57238.39,78.97,4530239.57,57363.47
21/03/2021 16:00,57186.29,57450,56847.29,57255.31,100.36,5741190.45,57204.96
21/03/2021 17:00,57255.31,57350.56,57012.25,57297.08,54.87,3139361.4,57217.38
21/03/2021 18:00,57297.08,57531.29,57227.6,57425.55,38.01,2181521.99,57391.31
21/03/2021 19:00,57421.74,57729.26,57410.6,57583.82,50.24,2893976.44,57597.97
21/03/2021 20:00,57571.73,58027.99,57571.73,57819.01,71.38,4126517.92,57810.25
21/03/2021 21:00,57873.16,58150,57522.23,58143.87,82.43,4770502.82,57871.54
21/03/2021 22:00,58108.6,58150,57556,57604.01,116.91,6759087.75,57815.91
21/03/2021 23:00,57605,57819.13,57189.96,57381.79,109.55,6297882.23,57486.63
22/03/2021 00:00,57410.54,57467.1,56426.9,56585.27,108.52,6172985.82,56885.91
22/03/2021 01:00,56581.1,56733.16,56304.31,56611.91,198.58,11229801.55,56549.54
22/03/2021 02:00,56640.77,57053.15,56454.26,56988.52,104.66,5947897.22,56832.14
22/03/2021 03:00,56982.57,57627.52,56982.57,57584.31,93.36,5351155.95,57314.5
22/03/2021 04:00,57556.72,57834.09,57428.36,57606.61,113.9,6557272.9,57572.02
22/03/2021 05:00,57614.69,57773.14,57297.5,57600,101.63,5842803.77,57492.79
22/03/2021 06:00,57631.82,57871.84,57562.3,57677.5,76.24,4403092.97,57750.23
22/03/2021 07:00,57660.03,57852.92,57520.41,57585.38,92.47,5335380.26,57698.09
22/03/2021 08:00,57585.81,57710.53,57094.5,57213.17,156.31,8985180.18,57482.96
22/03/2021 09:00,57217.7,57402.29,57047.12,57387.73,90.45,5175691.86,57219.59
22/03/2021 10:00,57387.73,58461.78,57291.49,57942.06,207,12015403.21,58044.1
22/03/2021 11:00,57923.16,58163.29,57551.4,57720.67,197.76,11430194.74,57798.47
22/03/2021 12:00,57727.69,57757.9,56876.63,57266.22,209.71,12015606.62,57297.18
22/03/2021 13:00,57266.22,57409.58,56551,56999.86,378.5,21579018.02,57012.23
22/03/2021 14:00,56967.87,57309.92,56800,57014.48,203.36,11613786.28,57108.18
22/03/2021 15:00,56990,57264.46,56897.93,57066.1,174.01,9939776.18,57122.19
22/03/2021 16:00,57097.39,57231.92,56222,56781.35,350.08,19854355.7,56714.31
22/03/2021 17:00,56750,57211.06,56575.59,57098.26,163.21,9291978.38,56934.07
22/03/2021 18:00,57100.39,57180.74,56371.98,56492.17,172.61,9791743.49,56726.07
22/03/2021 19:00,56492.98,56555,55540,55593.39,591.39,33072673.72,55924.02
22/03/2021 20:00,55540,56018.41,54228,54557.44,671.84,37083423.22,55197.16
22/03/2021 21:00,54557.44,54990,54311.52,54560.22,1017.37,55600358.66,54651.14
22/03/2021 22:00,54574.02,54669.49,53715,54623.8,777.17,42085339.62,54152.09
22/03/2021 23:00,54620.47,54911.3,54070.92,54070.92,316.85,17300242.69,54601.55
23/03/2021 00:00,54117.71,54788.29,53824.38,54724.37,180.03,9812204.75,54503.58
23/03/2021 01:00,54716.03,55350,54540.26,55143.35,172.44,9470205.87,54919.88
23/03/2021 02:00,55172.83,55196.69,54463.12,54562.22,111.14,6103941.92,54922.73
23/03/2021 03:00,54586.04,54740.48,54400,54678.61,107.79,5881633.25,54567.52
23/03/2021 04:00,54673.79,54779,54000,54427.59,107.21,5827452.25,54353.22
23/03/2021 05:00,54456.78,54475.93,53118.87,53517.1,515.51,27610663.95,53559.95
